modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Random Forest,0.8880180801348349,0.037330029766838024,0.5884292505873053,0.11391457050093169,0.7487903225806452,0.07559112778902186,0.6558432875735425,0.09486074047955317,0.9296395769909406,0.034763843205230384
SVM,0.8092775607140121,0.020006319607777257,0.4068202798516746,0.032189214121316694,0.786491935483871,0.02877772607782273,0.5353984303945414,0.028764242043766958,0.8914046339429827,0.03065791902791463
Regressao Logistica,0.782153527924615,0.022532742704424676,0.3729792123743737,0.02820894442203791,0.8116935483870968,0.03276690411379924,0.510099287819312,0.025150940926250278,0.872793667061552,0.029233163309828416
