modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Random Forest,0.9063586914885468,0.02902295920090795,0.7209697910784868,0.15652302815583086,0.5786290322580645,0.06988439521143958,0.6364443104065745,0.09562788655672275,0.934043815352406,0.0311341291646538
SVM,0.8092775607140121,0.020006319607777257,0.4068202798516746,0.032189214121316694,0.786491935483871,0.02877772607782273,0.5353984303945414,0.028764242043766958,0.8914046339429827,0.03065791902791463
Regressão Logística,0.782153527924615,0.022532742704424676,0.3729792123743737,0.02820894442203791,0.8116935483870968,0.03276690411379924,0.510099287819312,0.025150940926250278,0.872793667061552,0.029233163309828416
